,Counts,Unclear
la Haye,45,x
Montpellier,4,
Groningue,6,
Amsterdam,66,
la Haïe,2,x
Paris,269,
Meaux,4,
France,281,
England,102,
Switzerland,2,
Spain,86,
Rome,142,
Iran,5,
Cartago,5,
Africa,13,
Attene,7,
Paphos,3,
Pont-neuf,2,
Rheims,1,
S. Roch,1,
Egypte,15,
Alemagna,6,
Greece,44,
Corbia Lake,1,
Giblou,1,
Barberin,1,
Germany,31,
Grenoble,4,
Palais Royal,4,
Tiber River,1,
petit Hôtel du Luxembourg,1,
Luxembourg,7,
Versailles,36,
Suisse,5,
Babel Rock,2,
Bilbao,7,
Galicia,7,
Jerusalem,8,
Island of Malta,1,
London,110,
Europe,178,
Denmark,6,
Whitehall,6,
Hellespont,1,
Bath,10,
Tunbridge Wells,2,
Royal Leamington Spa,1,
Rue Friday,1,
Pall-Mall,2,
Flanders,10,
Italy,64,
Londra,27,
Ranelagh,9,
Vauxhall,12,
Grece,8,
Angleterre,77,
Europa,61,
Caino,2,
Affrica,10,
Montesquieu,1,
America,14,
Cadiz,27,
Southern Asia,2,
Asia,22,
Western Europe,21,
China,26,
Calicut International Airport,1,
Antioquia,1,
Istanbul,11,
Cilicie,1,
Venezia,53,
Olimpo,22,
Brittany,5,
Turkey,5,
North America,4,
Grecia,49,
Acheronte,4,
Cocito,1,
Ramelies,1,
Madrid,82,
Italia,39,
Essex,6,
Perpignan,1,
Aréopage,1,
Nesle-la-Reposte,1,
Champagne-Ardenne,6,
Romana Repubblica,1,
Meca,1,
Ispagna,6,
Egitto,14,
Alessandria,3,
Palestina,2,
Russia,12,
Sweden,9,
Georgia,4,
Savannah River (Georgia Bank),2,
Tamise,5,
Northern Europe,2,
Corinto,2,
Protugal,1,
Rio Lavacolla,1,
Malines,1,
Laußnitz,1,
Ephesus,3,
Arabien,1,
Spagna,7,
l’Hopital de St. Thomas,1,
Pariggi,1,
Roma,43,
Lione,1,
Francia,36,
Cádiz,2,
Sevilla,4,
Málaga,10,
Zaragoza,12,
Barcelona,27,
Valencia,15,
Valladolid,10,
Havana,11,
México,3,
Monte Santo,1,
Grande Bretagne,10,
Caffé de White,10,
Caffé de Guillaume,13,
Seville,12,
Piazza di S. Marco,3,
S. Giuliano,1,
Vienna,12,
Lisbona,1,
Germania,11,
San Benedetto,1,
Padova,7,
Cappadocia,2,
'Provence-Alpes-Côte d''Azur',7,
Cythera Island,2,
Saintes-Maries-de-la-Mer,1,
Portogallo,7,
Londres,57,
Westmunster,4,
l’Eglise de S. Clement,1,
grande Bretagne,2,
Temple de Saint Paul,1,
Strand,2,
Vicenza,11,
Canarie,1,
Cipro,2,
San Polo,2,
S. Paternian,1,
San Fantino,3,
San Barnaba.,1,
Santa Marina,1,
Calle dalle Acque,1,
Parigi,22,
Motta,1,
Pazzovia,1,
Copenhague,24,
Lignon,1,
Cithère,2,
Amathonte,3,
Olympe,11,
Empyrée,2,
Tuileries Garden,5,
la Fleche,2,
Saint Germain,2,
Netherlands,36,
Basel,2,
The Hague,20,
Japan,8,
Petervaradino,1,
Belgardo,1,
Ungheria,1,
Northern America,8,
Cartagena,9,
Mexico,11,
Kolkata,1,
spagna,1,
Parnasso,4,
Indie,10,
Toscana,5,
Milano,6,
Turquie,13,
Maynz,3,
Berlin,5,
Tebe,5,
Arabie,4,
Thrace,2,
Inghilterra,30,
Ireland,7,
Westminster,8,
Newcastle,1,
Espagne,35,
Tergoes,2,
Zélande,1,
Leide,1,
Champs Elisées,2,
Leyden,1,
Champs-Elisées,5,
Leyde,2,
Frise,1,
Utrecht,12,
Covent Garden,5,
Troy,4,
Fontenoy-le-Château,1,
Lido,2,
San Pietro di Castello,1,
Brescia,5,
Venice,46,
Verona,5,
Padua,10,
Fiume Bacchiglione,1,
Carrara,1,
Zoldo,1,
Sebenico,1,
Brenta,2,
Fusina,1,
Foro,2,
Vaticano,2,
Corinti,1,
Tuscany,26,
Pisa,8,
Calci,7,
Uliveto,2,
Athens,24,
Castilien,1,
España,8,
Farsalia,1,
Pompeo,1,
Grande-Bretagne,6,
jardin du palais royal,1,
Rocroy,1,
Flandre,4,
Louvre,2,
Sainte-Sophie,1,
Santa-Caza,1,
Eurete,1,
Palestine,4,
Italie,41,
palais-royal,4,
Vatican City,3,
Cicladi,1,
Rodi,3,
Cambridge,7,
Brighthelm-Stone,2,
Santander,7,
América,3,
Dusseldorf,2,
Bourgogne,15,
Arabia (Roman province),1,
Azad Kashmir,1,
Teutschland,2,
Ruë d’Anne,1,
