unique_id,normalization
work:W.0000,39
work:W.0001,A Demonstration Of The Being And Attributes Of God And Other Writings
work:W.0002,A Discourse Of Truth
work:W.0003,"A Mad World, My Masters"
work:W.0004,Ab Urbe Condita Libri
work:W.0005,Abeille
work:W.0006,Absalom And Achitophel
work:W.0007,Actes Des Apotres
work:W.0008,Adelphoe
work:W.0009,Adriano
work:W.0010,Aeneis
work:W.0011,Aesop's Fables
work:W.0012,Aglaüs
work:W.0013,Alaric
work:W.0014,Alcibiade
work:W.0015,Alessandro Nell’indie
work:W.0016,Alexandre Le Grand
work:W.0017,Alfonsinische Tafeln
work:W.0018,All For Love
work:W.0019,Alla Zaira
work:W.0020,Almanach
work:W.0021,Almanach De Liège
work:W.0022,Almanach Des Arts
work:W.0023,"Almanach Des Centenaires, Ou Durée De La Vie Humaine Au-dela De Cent Ans Demontrée Par Des Exemples Sans Nombre, Tant Anciens Que Modernes"
work:W.0024,Alzira
work:W.0025,Amadis
work:W.0026,Amadís De Gaula
work:W.0027,Aminta
work:W.0028,Aminte
work:W.0029,Amore Artigiano
work:W.0030,Amore Contadino
work:W.0031,"Amours, Amitiés & Amourettes"
work:W.0032,Amphitryon
work:W.0033,Amusement Philosophique Sur Le Langage Des Bêtes
work:W.0034,An Enquiry Into The Nature Of The Human Soul; Wherein The Immateriality Of The Soul Is Evinced From The Principles Of Reason And Philosophy
work:W.0035,An Essay Concerning Human Understanding
work:W.0036,An Essay On Man
work:W.0037,Andria
work:W.0038,Andromache
work:W.0039,Annales Des Provinces-unies
work:W.0040,Annals
work:W.0041,"Anti-machiavel, Ou Essai De Critique Sur Le Prince De Machiavel"
work:W.0042,Araucana
work:W.0043,Archivos Literarios De La Europa
work:W.0044,Ariadne Auf Naxos
work:W.0045,Arlequin Misantrope
work:W.0046,Arlequin Roi De Serendib
work:W.0047,Armide
work:W.0048,Arminius
work:W.0049,Ars Amatoria
work:W.0050,Ars Poetica
work:W.0051,Artamène Ou Le Grand Cyrus
work:W.0052,Arte Senza Regole Per Rendere Un Poeta Immortale Fuori Delle Gazzette E Nelle Gazzette. Lettera Di Soffolto Planomaco A N. N. Accademico Granellesco
work:W.0053,Arthénice Ou Les Bergeries
work:W.0054,Artémire
work:W.0055,Astro Dentifrangíbulo
work:W.0056,Astrée
work:W.0057,Atalia
work:W.0058,Atilla
work:W.0059,Atlantide
work:W.0060,Attila
work:W.0061,Atys
work:W.0062,Aulularia
work:W.0063,Aureng-zebe
work:W.0064,"Aurélia Ou Orléans Délivré, Poeme Latin Traduit En François"
work:W.0065,Avantures De L’aiman
work:W.0066,Avantures De Thélemaque
work:W.0067,Avare Jaloux
work:W.0068,Avis D’un Pere À Sa Fille
work:W.0069,Bagatelles
work:W.0070,Bagetelles
work:W.0071,Baron De La Crasse
work:W.0072,"Baron, Tan Deforme En Todas Sus Partes"
work:W.0073,Batino
work:W.0074,Batrocomiomachía
work:W.0075,Belianís De Grecia
work:W.0076,Bellum Catilinae
work:W.0077,Bible
work:W.0078,"Bibliopèa, O Sia L’arte Di Compor Libri"
work:W.0079,Biblioteca Periódica De Ciencias Y Arte
work:W.0080,Bibliothèque Ancienne Et Moderne : Pour Servir De Suite Aux Bibliothèques Universelle Et Choisie
work:W.0081,Bibliothèque Raisonnée
work:W.0082,Book I
work:W.0083,Book Of Isaiah
work:W.0084,Book Of Jeremiah
work:W.0085,Book Of Leviticus
work:W.0086,Brennoralt
work:W.0087,Brennoraut
work:W.0088,Brief An Pisones
work:W.0089,Britannicus
work:W.0090,Bruderzwist Oder Die Versöhnung
work:W.0091,"Brutus, La Mort De César"
work:W.0092,"Buch 4, Kapitel 3"
work:W.0093,Bucolica
work:W.0094,Bulle D’or
work:W.0095,Buona Figliuola
work:W.0096,Buscona
work:W.0097,Béverlei
work:W.0098,Canaux Navigables
work:W.0099,Canzoniere
work:W.0100,Caractéres
work:W.0101,Carm. Hortat. 133
work:W.0102,Carmen Seculare
work:W.0103,Carminum Libri
work:W.0104,Carnibus
work:W.0105,Cassandre
work:W.0106,Castor Et Pollux
work:W.0107,Catilina
work:W.0108,Cato Maior De Senectute
work:W.0109,Cato: A Tragedy
work:W.0110,"Celeo, O L’orto"
work:W.0111,Chansons Des Pendus
work:W.0112,Chap. I. Art. I.
work:W.0113,Chef D’œuvre
work:W.0114,Chismoso. Comedia En Tres Actos
work:W.0115,Cid
work:W.0116,Cimbelina
work:W.0117,Cinna
work:W.0118,Cinna Ou La Clémence D'auguste
work:W.0119,Circe
work:W.0120,Cistellaria
work:W.0121,Clarissa
work:W.0122,Clark’es Réfléxions On Amintor
work:W.0123,Cleomenes
work:W.0124,Cleone
work:W.0125,Cleveland
work:W.0126,"Clélie, Histoire Romaine"
work:W.0127,Cléomene
work:W.0128,Cléopatre
work:W.0129,Cognoscendis Et Curandis Morbis
work:W.0130,Coligny
work:W.0131,Commendando Studio Hippocratico
work:W.0132,Comte De Gabalis
work:W.0133,Concorde
work:W.0134,Conquérant & La Pauvre Femme
work:W.0135,Considérations Sur La Décadence De L’empire Romain
work:W.0136,Considérations Sur Les Causes De La Grandeur Des Romains Et De Leur Décadence
work:W.0137,Constitutions Des Principaux Etats De L'europe Et Des Etats-unis De L'amérique
work:W.0138,Contes Des Fées
work:W.0139,Contes Turcs
work:W.0140,Contra Deum Pugnare Non Est Facile
work:W.0141,Conversaciones Instructivas Entre El Padre Fray Bertoldo... Y Don Terencio...
work:W.0142,Correo De Sevilla
work:W.0143,Corvo
work:W.0144,Courier Politique & Galant
work:W.0145,Courrier D'avignon
work:W.0146,Coutumes Du Beauvaisis
work:W.0147,Critique Des Critiques D’inès De Castro
work:W.0148,Cromwell
work:W.0149,Cyropaedia
work:W.0150,Cyrus
work:W.0151,Dannemarks Riges Historie
work:W.0152,Daphnis Et Eglé
work:W.0153,Das Befreite Jerusalem
work:W.0154,Das Fegefeuer
work:W.0155,Das Leiden Des Jungen Werthers
work:W.0156,Das Paradies
work:W.0157,Das Schiffstau
work:W.0158,Das Vaterunser
work:W.0159,Das Verlorene Paradies
work:W.0160,Davideis
work:W.0161,De Arte Poetica
work:W.0162,De Beneficiis
work:W.0163,De Coniuratio Catilinae
work:W.0164,De Consideratione
work:W.0165,De Consolatione Philosophiae
work:W.0166,De Dignitate Et Augmentis Scientiarum
work:W.0167,De Divinatione
work:W.0168,De Finibus
work:W.0169,"De L'égalité Des Deux Sexes, Discours Physique Et Moral Où L'on Voit L'importance De Se Défaire Des Préjugés"
work:W.0170,De La Priere
work:W.0171,De Medicina Brasiliensi
work:W.0172,De Mor. Germania
work:W.0173,"De Natura Animalium, Book Iv"
work:W.0174,De Natura Deorum
work:W.0175,"De Off. I. 2, C. 18"
work:W.0176,De Officiis
work:W.0177,De Oratore
work:W.0178,De Raptu Proserpinae
work:W.0179,De Senectute
work:W.0180,Decameron
work:W.0181,Della Consolazione
work:W.0182,Della Fisica Riduzione Della Maremma Senese
work:W.0183,Della Medicina Usata Da’medici Nelle Malattie Loro
work:W.0184,"Delle Malattie Che Attaccano Gli Europei Ne’climi Caldi, E Nelle Lunghe Navigazioni"
work:W.0185,Dello Spirito
work:W.0186,Demofoonte
work:W.0187,Demonact
work:W.0188,"Demonstration De L’existence De Dieu, Tirée De La Connoissance De La Nature, & Proportionnée À La Foible Intelligence Des Plus Simples, Par Messire François De Salignac, De La Mothe Fenelon, Archevêque De Cambrai"
work:W.0189,Demosthene
work:W.0190,Der Arzt Wider Willen
work:W.0191,Der Bürgerkrieg
work:W.0192,Der Canzoniere
work:W.0193,Der Galateo. Traktat Über Gute Sitten
work:W.0194,Der Gefesselte Prometheus
work:W.0195,Der Kaufmann Von Venedig
work:W.0196,Der Reichtum
work:W.0197,"Der Sturm, Oder Die Bezauberte Insel"
work:W.0198,"Der Tod Adams, Ein Trauerspiel"
work:W.0199,Der Zigeunerbaron
work:W.0200,Derniéres Paroles Des Futurs Pendus
work:W.0201,Diario
work:W.0202,Diario De Barcelona
work:W.0203,Diario De Cartagena
work:W.0204,Diario De Los Sabios
work:W.0205,Diario De Medicina
work:W.0206,Dictionnaire De L’académie Française
work:W.0207,Dictionnaire De Morery
work:W.0208,Dictionnaire Encyclopédique
work:W.0209,Dictionnaire Historique Et Critique
