Titel,Replacement,
An enquiry into the nature of the human soul; wherein the immateriality of the soul is evinced from the principles of reason and philosophy,,
 Sagesse de Salomon,,1
39,,1
A Discourse of Truth,,1
"A Mad World, My Masters",,1
A demonstration of the being and attributes of God and other writings.,,1
Aarengzeb,,1
Ab urbe condita libri,,1
Abeille,,3
Absalom and Achitophel,,1
Actes des Apotres,,1
Adelphoe,,1
Adriano,,1
Aeneis,,53
"Aeneis,V.",,1
Aeneis.,,8
Aglaüs,,1
Alaric,,1
Alcibiade,,1
Alcoran,,2
Alessandro nell’Indie,,1
Alfonsinische Tafeln,,1
All for Love,,1
All’Alzira,,1
Almanach,,1
"Almanach Des Centenaires,  ou durée de la vie humaine au-dela de cent ans demontrée par des exemples sans nombre, tant anciens que modernes",,1
Almanach de Liège,,1
Almanach de Liège.,,1
Almanach des Arts,,1
Alzire,,1
Amadis,,1
Amadís,,1
Amadís de Gaula,,1
Aminta,,1
Aminte,,1
Amore Artigiano,,1
Amore contadino,,1
"Amours, Amitiés & Amourettes",,1
Amphitryon,,1
Amusement philosophique sur le langage des bêtes.,,1
An Essay Concerning Human Understanding.,,1
An Essay on Man,,1
An enquiry into the nature of the human soul,,1
Andria,,6
Andromaca,,1
Andromache,,1
Andromaque,,3
Andromaque.,,2
Annalen,,1
Annales des Provinces-Unies.,,1
Annales.,,1
Année Littéraire,,1
Année Littéraire. Extrait de la regle des devoirs,,1
Anti-Machiavel ou essai de critique sur le Prince de Machiavel.,,1
"Anti-Machiavel, ou Essai de critique sur le Prince de Machiavel.",,3
Anti-Regañón,,1
Araucana,,1
Ariadne auf Naxos.,,1
Arlequin Misantrope,,1
Arlequin roi de Serendib.,,1
Armide,,1
Armide.,,1
Arminius,,1
Ars Amatoria.,,1
Ars Poetica,,15
Ars Poetica ,,1
Ars amatoria,,1
Ars amatoria.,,1
Ars poetica,,8
Ars poetica ,,2
Ars poetica#H,,1
Ars poetica.,,1
Artamène ou Le grand Cyrus,,1
Artamène ou le Grand Cyrus,,1
Artamène ou le Grand Cyrus.,,1
Arte senza regole per rendere un Poeta immortale fuori delle Gazzette e nelle Gazzette. Lettera di Soffolto Planomaco a N. N. Accademico Granellesco,,1
Arthénice ou les Bergeries,,1
Artémire,,1
Astrée,,1
Atalia,,1
Athalie,,3
Athalie.,,1
Atilla,,1
Attila.,,1
Atys.,,1
Aulularia,,1
"Aurélia ou Orléans délivré, poeme latin traduit en françois.",,1
Avantures de Thélemaque,,1
Avantures de l’Aiman,,1
Avare Jaloux,,1
Avis d’un Pere à sa Fille,,1
Bagatelles,La Bagatelle,5
Bagetelles,La Bagatelle,1
Baron de la Crasse,,1
"Baron, tan deforme en todas sus partes",,3
Batino,,1
Batrocomiomachía~i,,1
Belianís de Grecia,,1
Bellum Catilinae,,1
Bibel,,7
Bibel.,,2
Bible,,1
"Bibliopèa, o sia l’arte di compor libri",,1
Biblioteca periódica de ciencias y arte,,1
Bibliothèque Raisonnée.,,1
Bibliothèque ancienne et moderne : pour servir de suite aux Bibliothèques universelle et choisie,,1
Brennoralt,,1
Brief an Pisones,,1
Briefe an Lucilius,,1
Briefe an Lucilius über Ethik,,9
Briefe an Lucilius über Ethik VI.,,1
"Briefe, Buch II, Brief 1.",,1
Britannicus,,1
Britannicus.,,1
Bruderzwist oder die Versöhnung,,1
"Brutus, La mort de César.",,1
"Buch 4, Kapitel 3",,1
Buch I.,,1
Buch IV.,,1
Buch Jeremia,,1
Buch Jesaja,,1
Buch Levitikus,,1
Bucolica,,3
Bulle d’or.,,1
Buona Figliuola,,1
Buscona,,1
Béverlei,,2
Canaux navigables.,,1
Canzoniere,,1
Caractéres,,1
Carm. hortat. 133,,1
Carmen seculare,,1
Carnaval du Parnasse.,,1
Carnibus,,2
Casa Nuova,,1
Casa nuova,,1
Cassandre,,3
Castor et Pollux,,1
Catilina.,,6
Cato,,7
Cato Maior de Senectute,,1
"Cato, A Tragedy.",,1
"Cato, a Tragedy.",,1
Caton,El Catón Compostelano,3
"Celeo, o l’Orto",,1
Chansons des Pendus,,1
Chef d’Oeuvre d’un Inconnu,,1
Chef d’Œuvre,,1
Chef d’Œuvre d’un Inconnu,,1
Chef-d’Oeuvre d’un Inconnu,,1
Chismoso. Comedia en tres actos,,1
Cid,,1
Cimbelina,,1
Cinna,,2
Cinna ou la Clémence d'Auguste.,,1
Cinna ou la Clémence d’Auguste.,,1
Circe,,1
Ciropedia,,1
Cistellaria,,1
Clarissa,,1
Clark’es Réfléxions on Amintor.,,1
Cleomenes,,1
Cleone,,1
Cleveland,,2
"Clélie, histoire romaine.",,1
Cléomene,,1
Cléopatre,,1
Cléopâtre,,1
Coligny,,1
Comte de Gabalis,,2
Concorde,,1
Confessions d’un Fat,,1
Conquérant & la pauvre femme,,1
Considérations sur la décadence de l’empire Romain.,,1
Considérations sur les causes de la grandeur des Romains et de leur décadence.,,1
Constitutions des principaux Etats de l'Europe et des Etats-Unis de l'Amérique.,,2
Contes Turcs,,2
Contes des Fées,,1
Contra Deum pugnare non est facile,,1
Conversaciones instructivas entre el padre Fray Bertoldo... y don Terencio...,,1
Corvo,,4
Courier Politique & Galant,,1
Courrier d'Avignon.,,1
Coutumes du Beauvaisis.,,1
Critique des critiques d’Inès de Castro,,1
Cromwell,,1
Cyropaedia.,,1
Cyropedie,,1
Cyrus,,1
Dannemarks Riges Historie.,,1
Daphnis et Eglé,,1
Das Fegefeuer,,1
Das Leiden des jungen Werthers,,1
Das Paradies,,1
Das Schiffstau,,1
Das Vaterunser,,1
Das befreite Jerusalem,,1
Das verlorene Paradies,,2
Davideis,,1
De Arte Poetica,,2
De Artes Poeticas,,1
De Beneficiis,,1
De Coniuratio Catilinae,,1
De Dignitate et Augmentis scientiarum,,1
De Officiis,,1
De arte Poetica,,1
De arte poetica,,1
De coniuratione Catilinae,,1
De consolatione philosophiae,,1
De divinatione,,2
"De l'Égalité des deux sexes, discours physique et moral où l'on voit l'importance de se défaire des préjugés",,1
De la Priere,,1
De l’Esprit des Loix.,,1
De l’esprit des lois.,,9
De l’esprit des loix.,,1
De natura deorum,,1
De officiis,,3
De oratore,,1
De raptu Proserpinae,,1
Decameron,,2
Decamerone,,1
Dekameron,,1
Della Consolazione,,1
Della Medicina usata da’Medici nelle malattie loro,,1
Della fisica Riduzione della Maremma senese,,1
"Delle malattie che attaccano gli Europei ne’climi caldi, e nelle lunghe navigazioni",,1
Demofoonte.,,1
Demonact.,,1
"Demonstration de l’Existence de Dieu, tirée de la connoissance de la Nature, & proportionnée à la foible intelligence des plus simples, par Messire François de Salignac, de la Mothe Fenelon, Archevêque de Cambrai",,1
Demosthene,,1
Der Arzt wider Willen,,1
Der Bürgerkrieg,,1
Der Canzoniere,,1
Der Galateo. Traktat über gute Sitten,,1
Der Kaufmann von Venedig,,1
Der Reichtum,,1
"Der Sturm, oder Die bezauberte Insel",,2
"Der Tod Adams, ein Trauerspiel",,2
Der Zigeunerbaron,,1
Der gefesselte Prometheus,,1
Derniéres paroles des futurs Pendus,,1
Devin du village.,,1
Diario,,1
Diario de Madrid,,18
Diario de los Sabios,,1
Dictionnaire de Morery,,1
Dictionnaire de l’Académie française,,2
Dictionnaire encyclopédique,,1
Didone,,1
Die Abenteuer des Telemach,,1
Die Dichtkunst,,1
Die Gespensterkomödie,,1
Die Heilige Schrift,,1
Die Hochzeit des Figaro,,1
Die Hölle,,1
Die Lusiaden,,1
Die Schelmenstreiche Scapins,,1
Die Troerinnen,,1
Die Wolken,,2
Die belohnte Jugend,,1
Die edle Lüge,,1
Die gelehrten Frauen,,1
Die göttliche Komödie,,3
Die lustigen Weiber von Windsor,,1
Digression sur les anciens et les modernes.,,2
Discorso sopra la morte di Iacopo Matteo Reinart Mastro calzolaio,,1
Discours sur la Liberté de Penser,,1
"Discours sur la liberté de penser, et de raisonner sur les matieres les plus importantes.",,1
Discours sur les sciences et les arts,,1
"Discours touchant la liberté de penser, occasionné par l’Origine, & par les progrez d’une secte appellée Esprits-forts.",,2
Dissertatio Gradualis De Amicitia Devota Veterum Hyperboreorum vulgo Fostbraedalag,,1
Dissertation critique sur l’Iliade,,2
Dissertation sur le poème épique contre la doctrine de M. D..,,1
Dizionario Istorico Critico,,10
Dizionario Storico Critico,,1
Dizionario del James,,1
Dom Quixote,,1
Domenico Maria,,1
Don Chisciote,,1
Don Quichote de la Mancha.,,1
Don Quijote,,4
Don Quixote,,1
Dr. Tillotson,,1
Drittes Buch Mose,,1
Défense de l’Astrologie,,2
Défense du Gouvernement Patriarchal,,2
Démophon,,1
EL REGAÑÓN GENERAL,El Regañón general,1
Eclogen,,1
Ecloghe,,1
Eclogue,,1
Eclogues,,2
Ecole du Monde,,1
Ecritures Saintes,,1
Edele de Ponthieu,,1
"Edgar, or the English Monarch",,1
Edipo,,1
Edit de Nantes,,1
Edit de Nîmes,,1
Edouard and Eleonore,,2
Efemérides de la ilustracion de España,,1
Ekloge.,,1
Eklogen,,8
Eklogen.,,2
El Anti-Regañón,,1
El Anti-Regañón general,,2
El Café,,1
El Califa,,1
El Catón Compostelano,El Catón Compostelano,2
El Catón compostelano,El Catón Compostelano,12
El Chismoso,,9
El Chismoso. Comedia en tres actos,,3
El Correo de Murcia,,1
El Correo mercantil de España y sus Indias,,1
El Curioso Entretenido,El Curioso Entretenido,2
El Curioso Entretenido ,El Curioso Entretenido,1
El Diario de Madrid,,3
El Discreto,,2
El Filósofo á la moda,El Filosofo à la Moda,1
El Gusto del dia. Comedia original en dos actos,,7
El Gusto del día,,3
El Hipócrita sentimental,,1
El Hombre de tres caras,,1
El Manolo,,1
El Marinerito,,1
El Memorial literario,,3
"El Memorial literario, instructivo y curioso de la corte de Madrid",,7
El Mercurio Peruano,,1
El Olfato de la Noche,,1
El Pasagonzalo,,1
El Pensador,El Pensador,1
El Regañon General,El Regañón general,10
El Regañon general,El Regañón general,1
El Regañón General,El Regañón general,33
El Regañón de la Havan,,1
El Semanario de Salamanca,,1
El Traductor,,1
El Viage á Grecia,,1
El Viajante desconocido,,1
El Viajante desconocido. Comedia en dos actos,,1
El Viajero universal o Noticia del mundo antiguo y nuevo,,1
El Zeloso confundido,,1
El Zeloso y la Tonta,,2
El castigo de la miseria,,1
El gran verco de Viena,,1
El hechizado por fuerza,,1
El ingenioso Hidalgo Don Quixote de la Mancha,,1
