Name in XML,Replacement,Typ
 América,Amerika,Kontinent
(Lyon),Lyon,Stadt
6255148::Europe,Europa,Kontinent
:Paris,Paris,Stadt
:Venezia,Venedig,Stadt
Abbaye de Westminster,Westminster Abbey,Gebäude
Abbaye de Westmunster,Westminster Abbey,Gebäude
"Abbaïe
                                d’Westminster",Westminster Abbey,Gebäude
"Abbaïe de la
                                    Trape",La Trappe,Gebäude
Abdera,,
Abruzzo,,
Acate,,
Acheronte,,
Affrica,Afrika,Kontinent
Africa,Afrika,Kontinent
Afrique,Afrika,Kontinent
Aia,,
Aiguemortes,,
Aix en Provence,,
Alais,,
Albe,,
Albion,,
Alcarria,,
Alemagna,Deutschland,Land
Alemania,Deutschland,Land
Alep,,
Alessandria,Alexandria,Stadt
Alessandrietta,Alexandretta,Stadt
Alexandrie,Alexandria,Stadt
Alexandría,Alexandria,Stadt
Alger,,
Algeri,,
Alicante,,
Allemagna,Deutschland,Land
Allemagne,Deutschland,Land
Almagne,Deutschland,Land
Almanza,,
Almeria,,
Alpes,Alpen,Gebirge
Alpi,Alpen,Gebirge
Altena,,
Altino,,
Amathonte,,
Amboise,,
Amburgo,,
America,Amerika,Kontinent
America meridionale,Mittelamerika,Kontinent
Amerique,Amerika,Kontinent
Amiens,,
Amsterdam,Amsterdam,Stadt
"Amsterdam
                                        ",Amsterdam,Stadt
Amsterdamo,Amsterdam,Stadt
América,Amerika,Kontinent
Américas,Amerika,Kontinent
Amérique,Amerika,Kontinent
Ancona,,
Andalousie,Andalusien,Region
Andalucía,Andalusien,Region
Andrinople,,
Anet,,
Angioù,,
Angleterre,England,Land
Angoulême,,
Anjou,,
Antibo,,
Anticyre,,
Antioche,Antiochia,
Antioquia,Antiochia,
Anvers,,
Aquila,,
Arabi ,Arabien,Region
Arabia,Arabien,Region
Arabie,Arabien,Region
Arabie Heureuse,,
Arabien,Arabien,Region
Aracinto,,
Arad,,
Aragon,,
Ararat,,
Arbelles,,
Arcadia,Arkadien,
Arcadie,Arkadien,
Archangel,,
Argentina,Argentinien,Land
Argo,Argos,
Argos,Argos,
Armenia,Armenien,Land
Armenien,Armenien,Land
Arno,,
Aréopage,,
Asaph,,
Ascalon,,
Aschaffenbourg,Aschaffenburg,Stadt
Asia,Asien,Kontinent
Asie,Asien,Kontinent
Asie Mineure,Kleinasien,Region
Asié,Asien,Kontinent
Asturies,,
Atenas,Athen,Stadt
Atene,Athen,Stadt
Atene ,Athen,Stadt
Athen,Athen,Stadt
Athene,Athen,Stadt
Athenes,Athen,Stadt
Athènes,Athen,Stadt
Athénes,Athen,Stadt
Athênes,Athen,Stadt
Atlantico,Atlantik,Meer
Atlantico Mare,Atlantik,Meer
Atlas,,
Attene,Athen,Stadt
Attica,,
Augusta,,
Austin Fryars,,
Austria,Österreich,Land
Autriche,Österreich,Land
Autun,,
Auvergne,,
Aveiro,,
Aventin,,
Averse,,
Avignon,,
Avranches,,
Babel,Babylon,Stadt
Babel ,Babylon,Stadt
Babilonia,Babylon,Stadt
Babylone,Babylon,Stadt
Babél,Babylon,Stadt
Bacchiglione,,
Bagdat,Bagdad,Stadt
Baliapatnam,Baliapatnam,
Balliapatnam,Baliapatnam,
Balmaseda,,
Baltico,,
Bangor,,
Bantam,,
Barbada,,
Barbarie,,
Barberia,,
Barberin,,
Barcelona,Barcelona,Stadt
Barcelonne,Barcelona,Stadt
Basan,,
Basle,,
Basso Reno,,
Bastille,,
Batavia,,
Bath,,
Batlico,,
Bautzen,,
Baviere,,
Bayona,Bayona,
Bayonne,,
Beaucaire,,
Bedford Head,Bedford Head,
Bedford-Head,Bedford Head,
Belgardo,,
Belgique,Belgien,Land
Belgrade,Belgrad,Stadt
Bellonne,,
Belluno,,
Belprato,,
Belvedere,,
Bencoolen,,
Bender,,
Bengala,,
Bentheim,,
Benvich,,
Beozia,,
Berg-op-Zoom,Berg-op-Zoom,Stadt
Bergen,,
Bergopzoom,Berg-op-Zoom,Stadt
Berlin,,Stadt
Bern,,Stadt
Bersabea,,
Besançon,,
Bethulie,,
Biberach,,Stadt
Bicêtre,,
Bilbao,,
Bildulguerid,,
Billingsgate,,
Bleinheim,,
Blenheim,,
Blois,,
Boemia,,
Bois de Boulogne,,
Bologna,,Stadt
Bolzano,Bozen,Stadt
Bombay,,Stadt
Bondy,,
Bordeaux,,Region
Borée,,
Bosphore,Bosporus,Meer
Boulogne,,Stadt
Bourbon,,
Bourgogne,,
Brabant,,
Brama,,
Brandebourg,Brandenburg,Stadt
Brandford,,
Brasile,Brasilien,Land
Brato,,
Braunschweig,,Stadt
Brenta,,
Brescia,,
Bresciana,,
Bresciane,,
Brest,,Stadt
Bretagne,Bretagne,Region
Bretaña,Bretagne,Region
Bridgetown,,
Brighthelm-Stone,,
Brille,,
Brisgovia,,
Bristol,,
Britannico Regno,,
Brittannia,,
Broad St. Giles,,
Brompton,,
Bruges,,
Brusela,Brüssel,Stadt
Bruxelles,Brüssel,Stadt
Bréme,Bremen,Stadt
Brésil,Brasilien,Land
Brézil,Brasilien,Land
Bude,,
Burano,,Insel
Burguillos,,
Buti,,
Béarn,,
Cabero,,
Cachemire,Kaschmir,Region
Cadice,Cadiz,Stadt
Cadis,Cadiz,Stadt
Cadix,Cadiz,Stadt
Cadiz,Cadiz,Stadt
"Caffe de Jeannete
                                    Man",Caffe de Jeannete Man,Lokal
"Caffé
                                    de White",Caffé de White,Lokal
Caffé Gascon,,Lokal
Caffé Grec,,Lokal
Caffé Royal,,Lokal
"Caffé de
                                    White",Caffé de White,Lokal
"Caffé de
                                Furbiani",Caffé de Furbiani,Lokal
Caffé de Button,,Lokal
Caffé de Child,,Lokal
Caffé de Guillaume,Caffé de Guillaume,Lokal
Caffé de Guillaume ,Caffé de Guillaume,Lokal
