Titel,Replacement,Typ,Anzahl
"
                                        Pasagonzalo",,,1
 Essai concernant l’Entendement Humain,,,1
 le XLVII,,,1
39,,,1
A. P.,,,5
A.D.,,,1
Aarengzeb,,,1
Abeille,,,3
Abraam,,,1
Absalon & Achitophel,,,1
Actes des Apotres,,,1
Adrasto,,,1
Adriano,,,1
Aen.,,,2
Aglaüs,,,1
Alaric,,,1
Alchoran,Koran,Religion,1
Alcibiade,,,1
Alcoran,Koran,Religion,4
Alessandro nell’Indie,,,1
Alexandre le Grand,,,1
Alkoran,Koran,Religion,1
All’Alzira,,,1
Almanac,,,1
Almanach de Liège,,,1
Almanach des Arts,,,1
Almanach des Centenaires,,,1
Alzira,,,1
Amadis,,,2
Amadis de Gaule,,,1
Aminte,,,2
Amore Artigiano,,,1
Amore contadino,,,1
Amour païé d’amour,,,1
"Amours, Amitiés &
                                Amourettes",,,1
"Amusement Philosophique sur le Langage des Bêtes, à une Dame de qualité",,,1
Andrienne,,,1
Andromaca,,,1
Andromaque,,,4
Andromaque Anglois,,,1
Andrómaca,,,1
"Ann., lib. I",,,1
Annales,,,1
Annales Patriotiques,,,2
Annales patriotiques,,,1
Année Littéraire,,,1
Année Littéraire. Extrait de la regle des devoirs,,,1
Anti Machiavel,,,1
Anti-Machiavel,,,3
Anti-Regañon,,,1
Ar. P.,,,1
Araucana,,,4
Ariane,,,1
Arlequin,,,1
Arlequin Misantrope,,,1
Armide,,,2
Arminius,,,1
Art poëtique.,,,1
Art. poet.,,,1
Art.Amat.,,,1
Arte Poetica,,,3
Arte poet.,,,1
Arte senza regole per rendere un Poeta immortale fuori delle Gazzette e nelle Gazzette. Lettera di Soffolto Planomaco a N. N. Accademico Granellesco,,,1
Artemire,,,1
Astrée,,,1
Atalia,,,1
Athalie,,,4
Athys,,,1
Atilla,,,1
Attila,,,1
Aulide,,,1
Aulularia,,,1
Aurora,,,1
"Avantures de
                                l’Aiman",,,1
Avantures de Thélemaque,,,1
Avare Jaloux,,,1
Avaro,,,1
Avis d’un Pere à sa Fille,,,1
BAGATELLES,Bagatelle,,1
Babillard,,,1
Bagatelle,Bagatelle,,27
Bagatelle ,Bagatelle,,1
Bagatelles,Bagatelle,,4
Bagetelles,Bagatelle,,1
Baron,,,2
Baron de la Crasse,,,1
"Baron, tan
deforme en todas sus partes",,,1
Baronne de Saint-Clair,,,1
Batino,,,1
Batrocomiomachía,,,1
Bell. Catil.,,,1
Bergeries,,,1
Beverley,,,2
Bibbia,,,1
Bible,Bibel,Religion,3
Biblia,Bibel,Religion,2
"Bibliopèa, o sia l’arte di compor libri",,,1
Bibliothèque Raisonnée,,,1
Bibliothéque Ancienne & Moderne,,,1
Britannicus,,,2
Brutus,,,1
